,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
25796,25796,15641110,Ritchie,488,France,Male,36.0,8,75823.5,1,1.0,1.0,134774.02,0
8033,8033,15790810,Genovesi,730,Germany,Female,41.0,7,151636.24,1,1.0,1.0,137096.54,1
19184,19184,15733447,Aksyonova,744,Spain,Female,29.0,4,0.0,2,1.0,1.0,141038.22,0
107739,107739,15722083,Ch'ang,591,Spain,Male,42.0,8,0.0,1,0.0,1.0,42392.24,0
87442,87442,15655574,Chukwubuikem,634,France,Male,38.0,6,87739.08,1,1.0,0.0,102397.22,0
40714,40714,15675842,Pinto,656,Spain,Male,34.0,4,139584.57,2,1.0,0.0,36308.93,0
110434,110434,15617197,K'ung,663,Spain,Male,29.0,5,0.0,2,1.0,0.0,71865.31,0
27958,27958,15773869,Uspensky,692,France,Male,42.0,10,153819.58,1,1.0,1.0,71175.94,0
137535,137535,15705899,Hsiung,527,France,Female,29.0,8,0.0,2,1.0,0.0,124210.53,0
78682,78682,15754053,Oguejiofor,687,France,Male,30.0,1,97435.73,1,1.0,1.0,27330.59,0
73877,73877,15798064,Ch'en,665,Germany,Male,40.0,9,125540.73,2,1.0,1.0,77965.95,0
40068,40068,15666884,Ts'ai,439,France,Male,40.0,0,141643.75,1,1.0,0.0,71244.59,1
53149,53149,15636024,Hsiao,637,Germany,Male,51.0,7,102000.17,3,0.0,0.0,113051.64,1
98177,98177,15609083,K'ung,684,France,Male,39.0,2,0.0,2,0.0,0.0,141180.54,0
65959,65959,15692641,Yermolayeva,616,Germany,Female,32.0,5,92476.55,2,0.0,1.0,100720.03,0
158702,158702,15650288,Tretiakov,649,Spain,Male,39.0,3,0.0,1,1.0,1.0,128490.33,0
158299,158299,15605968,Toscani,725,Germany,Male,41.0,5,136494.08,2,1.0,1.0,81429.49,0
10544,10544,15586069,Kao,569,France,Male,35.0,6,0.0,2,1.0,1.0,182775.08,0
151861,151861,15570970,Han,647,France,Female,44.0,6,0.0,2,1.0,1.0,51362.82,0
